Campus,StudyField,Branch,Role,EduLevel,ProgLang,Databases,Platform,WebFramework,Industry,AISearch,AITool,Employment
Tyger Valley Campus,DS,I am a developer by profession,"Developer, mobile","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",MATLAB;Swift,SQL,Digital Ocean;Google Cloud;Heroku;Microsoft Azure;VMware,Unknown,Healthcare,WolframAlpha,Rubber Duck.AI;Synk Code,"Employed, full-time;Student, full-time"
Nelson Mandela Bay Campus,Information Technology,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Digital Ocean;Google Cloud,React,Insurance,Unknown,GitHub Copilot;Synk Code;Tabnine,"Employed, full-time"
Nelson Mandela Bay Campus,Information Technology,I am a developer by profession,Research & Development role,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,MongoDB;Neo4J,Unknown,FastAPI,Higher Education,Unknown,AWS CodeWhisperer;GitHub Copilot;Mintlify,"Employed, full-time;Student, full-time"
Pretoria Campus,DS,I am a developer by profession,"Developer, desktop or enterprise applications","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,SQL,Microsoft Azure,Unknown,Insurance,Unknown,Adrenaline;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Nelson Mandela Bay Campus,CS,I am a developer by profession,Data scientist or machine learning specialist,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Python,SQL,Amazon Web Services (AWS);Google Cloud;Microsoft Azure;VMware,FastAPI,Advertising Services,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Tabnine;Whispr AI,"Employed, full-time"
Pretoria Campus,CS,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Microsoft Azure,Angular,Other,Unknown,GitHub Copilot;Mintlify;Replit Ghostwriter,"Independent contractor, freelancer, or self-employed"
Durban Campus,DS,I am a developer by profession,"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",JavaScript,SQL,Unknown,Angular,Retail and Consumer Services,Bing AI;ChatGPT,AWS CodeWhisperer;GitHub Copilot;Synk Code,"Employed, full-time;Student, full-time"
Durban Campus,Information Technology,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,SQL,Microsoft Azure;Scaleway,React,"Manufacturing, Transportation, or Supply Chain",ChatGPT,Adrenaline;AWS CodeWhisperer,"Employed, full-time;Student, full-time"
Tyger Valley Campus,Information Technology,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Other (please specify):,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,SQL,Amazon Web Services (AWS),Unknown,Healthcare,Unknown,Tabnine,"Independent contractor, freelancer, or self-employed"
Nelson Mandela Bay Campus,CS,I am a developer by profession,"Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,Unknown,Heroku;Microsoft Azure,Django,Higher Education,Unknown,Mintlify;Synk Code,"Employed, full-time"
